#,Actor,Alcance,Categoria,Justificacion_Inclusion,Mendelow,Interes,Justificacion_Interes,Poder,Justificacion_Poder,Legitimidad,Justificacion_Legitimidad,Urgencia,Justificacion_Urgencia,Capacidad_Articulacion,Justificacion_Articulacion,Genero,Justificacion_Genero
63.0,HINO,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante global de buses y vehículos comerciales con una importante participación en sistemas de transporte urbano e interurbano de la región. Su experiencia en confiabilidad operacional, tecnologías de propulsión y desarrollo de vehículos de bajas emisiones resulta relevante para la evaluación de alternativas de reconversión tecnológica.",Hacer seguimiento,4.0,La empresa se beneficia principalmente de la venta de vehículos nuevos y servicios asociados. El retrofit tiene relación indirecta con su actividad y no representa actualmente una prioridad estratégica.,6.0,"Es un fabricante reconocido dentro del segmento de buses y vehículos comerciales, aunque su capacidad de incidencia sobre el mercado regional es más limitada que la de otros fabricantes globales.",,,,,,,6.0,"La empresa puede contribuir a incrementar la presencia de mujeres en cadenas de valor industriales, mantenimiento y servicios asociados al transporte, aunque el enfoque de género no constituye uno de sus ejes más visibles."
64.0,Volkswagen Caminhões e Ônibus,Regional Latinoamérica," Fabricante de buses, chasis o carrocerías","Fabricante líder de vehículos comerciales y buses con amplia presencia en América Latina. Su experiencia en innovación, eficiencia energética y desarrollo de nuevas plataformas de movilidad contribuye al análisis de tecnologías y estrategias aplicables a programas de retrofit para transporte público.",Mantener satisfecho,4.0,"Aunque participa activamente en iniciativas de movilidad sostenible, el retrofit no constituye una palanca principal de crecimiento para la compañía frente a la renovación convencional de flotas.",7.0,Posee influencia relevante en el mercado latinoamericano de vehículos comerciales y puede contribuir a moldear decisiones tecnológicas del sector transporte.,,,,,,,8.0,"Como parte del Grupo Volkswagen, cuenta con políticas corporativas de diversidad e inclusión y capacidad para promover estándares laborales inclusivos a lo largo de su cadena de valor."
65.0,E-Mobilitas,Colombia, Empresa de retrofit y tecnología vehicular,"Empresa colombiana especializada en soluciones de movilidad eléctrica y procesos de conversión vehicular. Su experiencia práctica en proyectos de electrificación, integración de componentes y adaptación de vehículos la convierte en un actor clave para aportar conocimiento técnico sobre la implementación de tecnologías retrofit.",Mantener informado,10.0,La reconversión de vehículos a tecnologías eléctricas constituye el núcleo de su actividad empresarial. El crecimiento del mercado de retrofit genera oportunidades directas de expansión comercial y tecnológica.,6.0,"Aunque es uno de los actores más especializados en retrofit, su escala empresarial todavía limita su capacidad para transformar por sí sola el mercado o influir en políticas públicas.",,,,,,,7.0,"Al operar en un sector emergente como el retrofit eléctrico, puede contribuir a incorporar enfoques de inclusión desde etapas tempranas, promoviendo nuevos espacios laborales para mujeres en actividades técnicas."
66.0,Equipmake,Global, Empresa de retrofit y tecnología vehicular,Empresa especializada en el desarrollo de sistemas de propulsión eléctrica para vehículos comerciales. Su experiencia en integración de trenes motrices eléctricos y soluciones de electromovilidad aporta conocimiento técnico relevante para el diseño y ejecución de proyectos de retrofit en flotas de buses.,Mantener informado,10.0,"Su modelo de negocio se basa en el desarrollo e integración de sistemas de propulsión eléctrica aplicables a conversiones vehiculares, por lo que tiene un interés directo en la expansión del retrofit.",6.0,Dispone de capacidades tecnológicas especializadas en electrificación vehicular y puede influir sobre proyectos específicos y desarrollos técnicos dentro del ecosistema retrofit.,,,,,,,6.0,"Puede fomentar la participación femenina en áreas de ingeniería, innovación y electrificación vehicular, aunque su escala de influencia es menor frente a grandes fabricantes globales."
67.0,SEA Electric,Global, Empresa de retrofit y tecnología vehicular,"Empresa especializada en electrificación de vehículos comerciales mediante soluciones de retrofit. Su experiencia internacional en reconversión de flotas aporta modelos de negocio, conocimiento tecnológico y lecciones aprendidas que pueden apoyar el desarrollo de programas de retrofit en América Latina.",Mantener satisfecho,10.0,La electrificación mediante reconversión de vehículos forma parte central de su propuesta de valor. La consolidación del mercado retrofit impacta directamente sus oportunidades de negocio.,7.0,Es un referente internacional en electrificación de vehículos mediante retrofit y posee capacidades técnicas que le permiten influir sobre modelos de negocio y soluciones tecnológicas del sector.,,,,,,,7.0,La empresa participa en un segmento innovador de la movilidad eléctrica donde existe una oportunidad importante para promover diversidad en perfiles técnicos y profesionales asociados a la reconversión vehicular.
68.0,REV Mobilities,Global, Empresa de retrofit y tecnología vehicular,"Empresa especializada en la conversión de vehículos convencionales a tecnologías eléctricas y de bajas emisiones. Su experiencia en procesos de retrofit aporta información relevante sobre requerimientos técnicos, desempeño operacional y escalabilidad de modelos de reconversión vehicular.",Mantener informado,10.0,"La empresa está especializada en procesos de reconversión de flotas y electrificación vehicular, por lo que el crecimiento del retrofit tiene una relación directa con su actividad económica.",6.0,"Puede influir sobre proyectos de reconversión vehicular y aportar conocimiento especializado, aunque su capacidad de incidencia sistémica sigue siendo limitada.",,,,,,,6.0,"Puede impulsar prácticas inclusivas dentro de proyectos de retrofit y electrificación de flotas, aunque su impacto se concentra principalmente en su ámbito empresarial."
69.0,Loop Mobility,Global, Empresa de retrofit y tecnología vehicular,"Empresa enfocada en soluciones de electrificación y reconversión tecnológica para vehículos comerciales. Su participación es relevante para aportar experiencias prácticas en integración de sistemas eléctricos, adaptación de plataformas existentes y desarrollo de esquemas de retrofit para flotas de transporte.",Mantener informado,10.0,Tiene interés máximo debido a que desarrolla soluciones orientadas específicamente a la transformación tecnológica de vehículos existentes y a la expansión de modelos de retrofit.,6.0,Participa directamente en el desarrollo de soluciones retrofit y puede influir sobre actores del mercado mediante innovación y demostración tecnológica.,,,,,,,6.0,"Tiene capacidad para incorporar criterios de diversidad e inclusión dentro de sus procesos de innovación y transformación tecnológica, aunque con alcance limitado fuera de su organización."
70.0,EVTV Motor Verks,Global, Empresa de retrofit y tecnología vehicular,"Empresa especializada en tecnologías de conversión eléctrica y modificación de vehículos convencionales. Su experiencia en diseño, integración y pruebas de sistemas de propulsión eléctrica aporta conocimiento técnico valioso para la evaluación de alternativas de retrofit aplicables al transporte público.",Mantener informado,10.0,"La empresa participa directamente en el desarrollo de soluciones de conversión eléctrica, por lo que el retrofit constituye el eje central de su actividad empresarial.",4.0,"Aporta conocimiento técnico y experiencia en electrificación de vehículos, pero cuenta con una capacidad limitada para influir sobre el desarrollo estructural del mercado retrofit a escala regional.",,,,,,,4.0,"Su capacidad para contribuir a políticas de género se limita principalmente a la adopción voluntaria de buenas prácticas internas, con baja incidencia sobre el ecosistema regional de movilidad."
71.0,ABB E-mobility,Global, Empresa de retrofit y tecnología vehicular,"Empresa especializada en infraestructura de carga, sistemas de gestión energética y soluciones para movilidad eléctrica. Su participación es relevante para aportar conocimiento técnico sobre integración de cargadores, interoperabilidad, gestión de energía y tecnologías necesarias para soportar la electrificación de flotas mediante procesos de retrofit.",Mantener satisfecho,7.0,"Aunque su negocio principal es la infraestructura de carga y las soluciones energéticas, el crecimiento del retrofit puede impulsar la demanda de tecnologías complementarias que ofrece al mercado.",7.0,Es uno de los principales proveedores globales de infraestructura de carga para movilidad eléctrica. Sus decisiones tecnológicas y comerciales pueden influir significativamente en las condiciones de adopción de soluciones retrofit electrificadas.,,,,,,,7.0,"Como líder global en infraestructura de carga puede promover la participación de mujeres en sectores tecnológicos, eléctricos e industriales, además de influir sobre estándares corporativos de diversidad dentro del ecosistema de electromovilidad."
72.0,Hitachi Energy eMobility,Global, Empresa de retrofit y tecnología vehicular,"Empresa líder en soluciones energéticas y electrificación con amplia experiencia en infraestructura para movilidad sostenible. Su participación es importante para evaluar requerimientos energéticos, integración a la red eléctrica y tecnologías que permitan facilitar la implementación de proyectos de retrofit en sistemas de transporte público.",Mantener satisfecho,7.0,"La expansión de vehículos electrificados aumenta la necesidad de infraestructura energética y soluciones de integración, generando un interés importante aunque indirecto en el retrofit.",7.0,"Posee capacidades técnicas relevantes en infraestructura energética y electrificación del transporte. Puede influir en el desarrollo de estándares, soluciones de integración y planificación de sistemas asociados al retrofit.",,,,,,,8.0,"La compañía mantiene compromisos corporativos asociados a diversidad, inclusión y desarrollo de talento. Su presencia internacional le permite impulsar buenas prácticas en cadenas de valor vinculadas a energía y movilidad eléctrica."
73.0,Enel Colombia,Colombia, Empresa de energía e infraestructura de carga,"Empresa líder del sector energético en Colombia con experiencia en infraestructura de carga, movilidad eléctrica y soluciones integradas para transporte sostenible. Su participación resulta clave para evaluar modelos de suministro energético, infraestructura de recarga y esquemas de apoyo para la electrificación de flotas reconvertidas.",Mantener satisfecho,6.0,"La electrificación del transporte puede incrementar el consumo de energía y abrir nuevas oportunidades de negocio, pero el retrofit representa únicamente uno de los mecanismos posibles para alcanzar ese objetivo.",7.0,"Es uno de los actores energéticos más importantes del país y tiene capacidad para impulsar proyectos de movilidad eléctrica, influir en decisiones sectoriales y apoyar esquemas de electrificación de flotas.",,,,,,,9.0,"La organización ha incorporado políticas de diversidad, equidad e inclusión dentro de sus estrategias corporativas y puede influir sobre proveedores, operadores y actores del ecosistema energético colombiano."
74.0,EPM,Colombia, Empresa de energía e infraestructura de carga,"Empresa de servicios públicos con amplia experiencia en generación, distribución y comercialización de energía. Su participación es relevante debido a su capacidad para apoyar el despliegue de infraestructura eléctrica, facilitar la integración de nuevas demandas energéticas y promover iniciativas de movilidad sostenible asociadas al retrofit vehicular.",Mantener satisfecho,6.0,"La empresa tiene interés en el crecimiento de la movilidad eléctrica y la demanda energética asociada, aunque el retrofit no constituye una prioridad específica dentro de su estrategia corporativa.",7.0,"La empresa cuenta con capacidades técnicas, financieras e institucionales para apoyar iniciativas de electrificación del transporte y ejercer influencia dentro de su área de operación.",,,,,,,8.0,"Como una de las principales empresas de servicios públicos de Colombia, posee capacidad para promover empleabilidad femenina, formación técnica e inclusión en sectores históricamente masculinizados."
75.0,Celsia,Colombia, Empresa de energía e infraestructura de carga,"Empresa del sector energético con experiencia en soluciones de movilidad eléctrica, infraestructura de carga y transición energética. Su participación es importante para identificar oportunidades de integración entre el sistema eléctrico y las flotas reconvertidas mediante tecnologías de bajas emisiones.",Mantener satisfecho,6.0,"El retrofit puede contribuir al crecimiento de la movilidad eléctrica, pero la organización mantiene una visión más amplia enfocada en infraestructura energética y soluciones para la transición energética.",7.0,"Ha desarrollado una estrategia activa en movilidad eléctrica e infraestructura de recarga, lo que le permite influir sobre proyectos y decisiones relacionadas con la electrificación de flotas.",,,,,,,8.0,Ha impulsado iniciativas relacionadas con diversidad e inclusión corporativa y puede utilizar sus programas de transición energética para promover una mayor participación de mujeres en actividades técnicas y energéticas.
76.0,ISA Intercolombia,Colombia, Empresa de energía e infraestructura de carga,Empresa responsable de infraestructura estratégica de transmisión eléctrica en Colombia. Su participación es relevante para evaluar los impactos de la electrificación del transporte sobre la red eléctrica y apoyar la planificación energética necesaria para una eventual implementación masiva de soluciones retrofit.,Hacer seguimiento,4.0,"La entidad se beneficia indirectamente de la electrificación del transporte a través de mayores necesidades de infraestructura energética, pero el retrofit no constituye un tema central dentro de su actividad.",6.0,"Su influencia proviene de su rol en infraestructura energética estratégica, aunque su participación en decisiones específicas relacionadas con retrofit es principalmente indirecta.",,,,,,,8.0,La organización cuenta con políticas corporativas de diversidad y sostenibilidad que pueden contribuir a ampliar la participación femenina en infraestructura energética y sectores tecnológicos.
77.0,CFE Distribución,México, Empresa de energía e infraestructura de carga,"Entidad responsable de la operación y gestión de la red de distribución eléctrica en México. Su participación es fundamental para evaluar la capacidad de la infraestructura eléctrica, facilitar la conexión de sistemas de carga y asegurar el suministro energético requerido por flotas de transporte reconvertidas.",Mantener satisfecho,4.0,Su interés se relaciona principalmente con los impactos sobre la red eléctrica y la demanda de energía. El retrofit es un fenómeno secundario frente a otras transformaciones del sector energético.,7.0,"Controla un componente crítico de la infraestructura eléctrica mexicana, lo que le otorga capacidad para facilitar o limitar la expansión de soluciones de transporte electrificado.",,,,,,,7.0,Como empresa pública del sector eléctrico mexicano puede promover políticas de empleo inclusivo y participación femenina en actividades operativas y técnicas de gran escala.
78.0,CFE Energía,México, Empresa de energía e infraestructura de carga,"Empresa encargada de la comercialización y suministro de energía en México. Su participación es relevante debido a su potencial para desarrollar esquemas comerciales, productos energéticos y mecanismos que faciliten la adopción de tecnologías eléctricas asociadas a programas de retrofit vehicular.",Hacer seguimiento,4.0,"Puede verse beneficiada indirectamente por el aumento del consumo energético asociado a la movilidad eléctrica, aunque el retrofit no representa un tema prioritario dentro de su ámbito de actuación.",6.0,"Puede influir mediante mecanismos de comercialización y suministro energético vinculados a la electrificación del transporte, aunque no determina directamente la adopción del retrofit.",,,,,,,7.0,Posee capacidad para impulsar programas de diversidad laboral dentro de sus operaciones y contribuir a la incorporación de mujeres en áreas vinculadas al sector energético.
79.0,Enel X,Regional Latinoamérica, Empresa de energía e infraestructura de carga,"Empresa especializada en infraestructura de carga, gestión energética y soluciones de electromovilidad en América Latina. Su experiencia en implementación de proyectos de transporte eléctrico aporta conocimiento técnico y operativo relevante para el desarrollo de estrategias de retrofit en flotas urbanas.",Manejar de cerca,8.0,La electrificación de flotas es uno de los segmentos estratégicos de la compañía. El retrofit puede acelerar la incorporación de vehículos eléctricos y aumentar la demanda de sus soluciones de carga y gestión energética.,8.0,"Es uno de los actores más relevantes de la región en infraestructura de carga y soluciones integrales para movilidad eléctrica, con capacidad para influir en decisiones tecnológicas y modelos de implementación.",5.0,"Actor privado ampliamente reconocido en electromovilidad e infraestructura de carga, con legitimidad principalmente técnica dentro del sector.",10.0,"Mantiene una agenda regional activa de expansión de infraestructura de carga, electrificación de flotas y apoyo a proyectos de movilidad eléctrica en América Latina. ",8.0,"Participa habitualmente en proyectos que requieren coordinar operadores de transporte, gobiernos, financiadores y proveedores de infraestructura de carga en distintos países de la región.",9.0,"Es uno de los actores más activos en electromovilidad de la región y forma parte de un grupo empresarial con compromisos explícitos en diversidad, inclusión y desarrollo de talento femenino."
80.0,Copec Voltex,Chile, Empresa de energía e infraestructura de carga,"Empresa líder en infraestructura de carga para vehículos eléctricos en Chile. Su participación es importante para evaluar requerimientos de recarga, modelos operativos y soluciones energéticas que permitan soportar la transición de flotas urbanas hacia tecnologías de bajas emisiones mediante procesos de retrofit.",Manejar de cerca,8.0,La expansión de vehículos eléctricos genera demanda directa para su infraestructura de carga. El retrofit constituye un mecanismo que podría ampliar el mercado objetivo de la compañía y fortalecer su modelo de negocio.,8.0,Lidera buena parte del desarrollo de infraestructura de carga en Chile y puede influir significativamente sobre la velocidad de adopción de tecnologías asociadas a la electrificación del transporte.,5.0,"Empresa referente en infraestructura de carga para vehículos eléctricos en Chile, con reconocimiento técnico en el ecosistema de electromovilidad.",9.0,Continúa expandiendo infraestructura de carga y participa activamente en la implementación de la estrategia chilena de electromovilidad. ,7.0,"Tiene capacidad para coordinar actores del ecosistema de electromovilidad e infraestructura de recarga, especialmente dentro del mercado chileno.",8.0,Puede promover la participación de mujeres dentro de un sector emergente como la infraestructura de carga eléctrica y servir como referente para prácticas inclusivas en electromovilidad.
81.0,Enex E-Pro,Chile, Empresa de energía e infraestructura de carga,"Empresa especializada en soluciones de infraestructura de carga y electromovilidad en Chile. Su participación es relevante para aportar conocimiento sobre despliegue de redes de recarga, modelos comerciales para transporte eléctrico y requerimientos energéticos asociados a la implementación de programas de retrofit vehicular.",Mantener satisfecho,8.0,La expansión de vehículos eléctricos incrementa directamente la necesidad de infraestructura de carga y servicios energéticos especializados. El retrofit puede ampliar el mercado potencial para sus soluciones de electromovilidad.,7.0,Es un actor relevante dentro del ecosistema chileno de electromovilidad y posee capacidad para impulsar soluciones energéticas complementarias al retrofit vehicular.,,,,,,,7.0,"Como actor relevante del ecosistema chileno de electromovilidad puede promover oportunidades para la participación femenina en infraestructura de carga, nuevas tecnologías y servicios energéticos asociados a la transición energética."
82.0,Pluz Energía Perú,Perú, Empresa de energía e infraestructura de carga,"Empresa del sector energético con presencia en Perú y participación en iniciativas de transición energética. Su involucramiento resulta relevante para evaluar necesidades de suministro eléctrico, infraestructura de recarga y esquemas de apoyo para la electrificación de flotas urbanas mediante tecnologías retrofit.",Hacer seguimiento,6.0,"La empresa puede beneficiarse indirectamente del crecimiento de la movilidad eléctrica y del aumento de la demanda energética, aunque el retrofit no constituye un área prioritaria dentro de su actividad principal.",6.0,"Puede apoyar el crecimiento de la movilidad eléctrica a través de infraestructura y suministro energético, aunque su influencia sobre el mercado retrofit es principalmente indirecta.",,,,,,,6.0,"Puede incorporar iniciativas de diversidad e inclusión dentro de sus operaciones y contribuir a incrementar la participación femenina en sectores energéticos emergentes, aunque con una capacidad de influencia relativamente limitada."
83.0,Engie Perú,Perú, Empresa de energía e infraestructura de carga,Empresa líder en generación y comercialización de energía con presencia en el mercado peruano. Su participación es importante para analizar el impacto de la electrificación del transporte sobre la demanda energética y desarrollar soluciones que faciliten la adopción de vehículos reconvertidos a tecnologías de bajas emisiones.,Mantener satisfecho,6.0,"El retrofit puede contribuir a incrementar la electrificación del transporte y abrir oportunidades asociadas al suministro energético, pero representa únicamente una de múltiples vías para ese crecimiento.",7.0,"Dispone de capacidades financieras, técnicas y energéticas que le permiten participar activamente en proyectos de electrificación del transporte y movilidad sostenible.",,,,,,,9.0,"La compañía cuenta con compromisos corporativos sólidos en diversidad, inclusión y sostenibilidad. Además, tiene capacidad para influir sobre cadenas de suministro, programas de formación y empleo femenino en energía y movilidad sostenible."
84.0,ICONTEC,Colombia," Normalización, certificación y acreditación","Entidad responsable de la elaboración de normas técnicas y esquemas de certificación en Colombia. Su participación es fundamental para desarrollar estándares de seguridad, procedimientos de evaluación de conformidad y criterios técnicos que permitan la implementación segura y confiable del retrofit vehicular.",Mantener satisfecho,7.0,"La consolidación de un mercado retrofit requiere normas técnicas, procesos de certificación y estándares de calidad. Esto genera oportunidades claras para el desarrollo de nuevas actividades alineadas con su misión institucional.",7.0,"Tiene capacidad para influir sobre estándares técnicos, procesos de certificación y requisitos de calidad que podrían convertirse en elementos claves para la implementación segura del retrofit.",,,,,,,6.0,"Puede incorporar criterios de inclusión y equidad dentro de procesos normativos, certificaciones y buenas prácticas organizacionales, contribuyendo indirectamente a la agenda de género."
85.0,ONAC,Colombia," Normalización, certificación y acreditación","Organismo nacional de acreditación responsable de evaluar la competencia de entidades certificadoras, laboratorios y organismos de inspección en Colombia. Su participación es relevante para fortalecer los mecanismos de calidad y confianza asociados a los procesos de certificación requeridos por el retrofit vehicular.",Hacer seguimiento,4.0,"Su papel está asociado a la acreditación de organismos de certificación y laboratorios. Participa como actor habilitador del ecosistema, pero el retrofit no constituye una prioridad estratégica propia.",6.0,"Puede influir sobre la acreditación de organismos de certificación y laboratorios asociados al retrofit, aunque no define directamente estándares ni políticas sectoriales.",,,,,,,4.0,"Su rol se concentra principalmente en acreditación y calidad. Aunque puede promover buenas prácticas institucionales, su capacidad para impulsar políticas de género es limitada."
86.0,Entidad Mexicana de Acreditación (EMA),México," Normalización, certificación y acreditación","Entidad responsable de acreditar organismos de evaluación de la conformidad en México. Su participación es importante para garantizar la calidad, confiabilidad y reconocimiento de los procesos de certificación, inspección y pruebas técnicas asociadas a tecnologías de retrofit.",Hacer seguimiento,4.0,"Cumple un rol similar al de otros organismos de acreditación, apoyando indirectamente los procesos de calidad vinculados al retrofit, aunque sin un interés directo en su desarrollo comercial.",6.0,Su capacidad se concentra en asegurar la calidad y confiabilidad de procesos de evaluación de conformidad relacionados con tecnologías emergentes.,,,,,,,4.0,"Posee capacidad reducida para influir directamente en agendas de inclusión, dado que su función principal está orientada a procesos de acreditación y evaluación de conformidad."
87.0,Instituto Nacional de Normalización (INN),Chile," Normalización, certificación y acreditación","Organismo nacional encargado del desarrollo y adopción de normas técnicas en Chile. Su participación es relevante para apoyar la construcción de estándares, requisitos técnicos y lineamientos que faciliten la implementación segura de procesos de reconversión vehicular.",Hacer seguimiento,4.0,"Podría participar en el desarrollo de estándares y requisitos técnicos asociados al retrofit, pero se trata de una actividad complementaria dentro de sus múltiples responsabilidades.",6.0,"Puede influir en la creación y adopción de estándares aplicables a tecnologías retrofit, aunque su capacidad es principalmente técnica y no regulatoria.",,,,,,,5.0,"Puede contribuir mediante la incorporación de enfoques de inclusión dentro de procesos de normalización y estándares técnicos, aunque de forma indirecta."
88.0,Instituto Nacional de Calidad (INACAL),Perú," Normalización, certificación y acreditación","Entidad responsable de promover la calidad, la normalización y la acreditación en Perú. Su participación contribuye al fortalecimiento de marcos técnicos y procedimientos de evaluación necesarios para el desarrollo de soluciones retrofit compatibles con los estándares nacionales e internacionales.",Hacer seguimiento,4.0,"El retrofit representa una posible aplicación de sus actividades de calidad, normalización y acreditación, aunque no constituye una prioridad central para la institución.",6.0,"Tiene influencia sobre procesos de calidad, normalización y acreditación que pueden apoyar el desarrollo del mercado retrofit en Perú.",,,,,,,5.0,"Tiene capacidad para incorporar principios de inclusión en procesos de calidad y fortalecimiento institucional, aunque sin una función específica en materia de género."
89.0,SGS,Regional Latinoamérica," Normalización, certificación y acreditación","Organismo internacional especializado en inspección, certificación y verificación. Su experiencia en evaluación de tecnologías, seguridad industrial y cumplimiento normativo aporta capacidades relevantes para apoyar procesos de certificación asociados al retrofit vehicular.",Hacer seguimiento,6.0,"La expansión del retrofit podría generar demanda por servicios de inspección, pruebas y certificación técnica. Existe interés comercial, aunque el mercado retrofit representa solo una parte menor de su actividad global.",6.0,"Como empresa global de certificación e inspección, puede contribuir a validar tecnologías y generar confianza en el mercado, aunque no posee capacidad para modificar políticas públicas.",,,,,,,7.0,"Como empresa global de certificación cuenta con políticas corporativas de diversidad e inclusión que pueden influir sobre clientes, proveedores y procesos de evaluación organizacional."
90.0,TÜV Rheinland,Regional Latinoamérica," Normalización, certificación y acreditación","Empresa global especializada en inspección, certificación y evaluación de conformidad. Su participación es relevante para aportar experiencia en validación técnica de tecnologías, homologación y verificación de estándares de seguridad aplicables a vehículos reconvertidos.",Hacer seguimiento,6.0,"La homologación, validación y evaluación de tecnologías retrofit puede generar nuevas oportunidades de servicios, pero el retrofit constituye únicamente uno de muchos mercados atendidos por la organización.",6.0,Su reconocimiento internacional en certificación y evaluación técnica le permite influir en estándares de calidad y seguridad aplicables a procesos de retrofit vehicular.,,,,,,,7.0,Dispone de programas corporativos de diversidad e inclusión y capacidad para promover buenas prácticas laborales y organizacionales en múltiples sectores industriales.
91.0,Bureau Veritas,Regional Latinoamérica," Normalización, certificación y acreditación","Organismo internacional de inspección y certificación con amplia experiencia en los sectores transporte, energía e industria. Su participación permite fortalecer la evaluación técnica, la confiabilidad de las soluciones retrofit y la adopción de buenas prácticas internacionales.",Hacer seguimiento,6.0,"La empresa puede beneficiarse de actividades relacionadas con certificación, inspección y evaluación de conformidad para vehículos reconvertidos, aunque no depende directamente del crecimiento de este mercado.",6.0,"Posee capacidades relevantes de certificación, inspección y evaluación de conformidad que pueden contribuir a la validación técnica de tecnologías retrofit, aunque su influencia sobre las decisiones de mercado es indirecta.",,,,,,,7.0,"Como empresa global de certificación e inspección cuenta con políticas corporativas de diversidad, equidad e inclusión que pueden influir sobre organizaciones cliente y cadenas de suministro en múltiples sectores productivos."
92.0,ANDI,Colombia, Gremio o asociación sectorial,"Principal gremio empresarial de Colombia con capacidad de articulación entre gobierno, industria y actores del sector transporte y energético. Su participación es relevante para identificar barreras de mercado, promover diálogo sectorial y facilitar la adopción de tecnologías asociadas al retrofit vehicular.",Mantener satisfecho,6.0,"Tiene interés en iniciativas que fortalezcan la competitividad industrial, la innovación y la transición tecnológica, pero representa sectores diversos cuyos intereses frente al retrofit pueden ser heterogéneos.",7.0,"Es uno de los gremios empresariales más influyentes de Colombia y tiene capacidad para articular al sector privado, influir en discusiones regulatorias y posicionar iniciativas relacionadas con movilidad sostenible.",,,,,,,8.0,"Como principal gremio empresarial de Colombia tiene capacidad para promover agendas de diversidad e inclusión entre sus afiliados, influir en política pública y difundir buenas prácticas empresariales en materia de género."
93.0,ANDEMOS,Colombia, Gremio o asociación sectorial,"Gremio que representa a fabricantes e importadores de vehículos en Colombia. Su participación es importante para comprender la perspectiva del sector automotor, identificar oportunidades de innovación tecnológica y promover condiciones favorables para la adopción de soluciones de retrofit.",Hacer seguimiento,6.0,"La evolución tecnológica del sector automotor puede generar oportunidades para algunos de sus afiliados. Sin embargo, existen posiciones diversas entre actores que podrían beneficiarse más de la venta de vehículos nuevos.",6.0,"Puede representar los intereses de fabricantes e importadores ante entidades públicas y participar en la construcción de marcos regulatorios, aunque su influencia depende del nivel de alineación de sus afiliados.",,,,,,,7.0,Puede promover estándares sectoriales de inclusión y fortalecer la participación femenina dentro de la industria automotriz colombiana a través de iniciativas gremiales y espacios de articulación empresarial.
94.0,ASOBUS,Colombia, Gremio o asociación sectorial,"Asociación que representa empresas relacionadas con la operación de transporte en bus. Su participación permite incorporar la visión de los operadores, identificar necesidades del sector y promover estrategias de modernización de flotas compatibles con los objetivos del retrofit vehicular.",Mantener satisfecho,8.0,"Representa operadores de transporte de pasajeros que podrían beneficiarse directamente de soluciones retrofit para modernizar flotas, reducir emisiones y optimizar costos de renovación vehicular.",7.0,"Representa operadores de transporte de pasajeros que constituyen potenciales usuarios del retrofit, otorgándole capacidad para influir en discusiones sectoriales y promover posiciones comunes.",,,,,,,7.0,"Representa a operadores de transporte de pasajeros y puede impulsar buenas prácticas de inclusión laboral, formación de mujeres conductoras y participación femenina en actividades operativas."
95.0,Colfecar,Colombia, Gremio o asociación sectorial,"Gremio representativo del sector transporte de carga en Colombia. Su participación es relevante debido al potencial futuro de las tecnologías retrofit para flotas comerciales y a su capacidad para aportar información sobre requerimientos operativos, regulatorios y económicos del sector transporte.",Hacer seguimiento,4.0,Su interés es limitado debido a que el foco principal del estudio es transporte público urbano. El retrofit de buses tiene una relación indirecta con las prioridades actuales del transporte de carga.,4.0,"Aunque es un gremio relevante dentro del transporte de carga, su capacidad de incidencia sobre el retrofit de buses urbanos es limitada y principalmente indirecta.",,,,,,,5.0,"Aunque tiene capacidad de incidencia gremial, su agenda principal se concentra en transporte de carga y logística, donde las iniciativas de género aún tienen menor visibilidad relativa."
96.0,AMIA,México, Gremio o asociación sectorial,"Asociación Mexicana de la Industria Automotriz, representante de fabricantes de vehículos en México. Su participación resulta relevante para identificar tendencias de mercado, conocer la visión de la industria automotriz y promover la articulación entre fabricantes y actores vinculados al retrofit vehicular.",Hacer seguimiento,4.0,Representa fabricantes automotrices cuyo negocio principal se basa en la comercialización de vehículos nuevos. En algunos casos el retrofit puede incluso competir con procesos tradicionales de renovación vehicular.,6.0,"Representa a fabricantes automotrices con capacidad de interlocución ante el gobierno mexicano y otros actores sectoriales, aunque no todos sus afiliados comparten incentivos para impulsar el retrofit.",,,,,,,7.0,"Como representante de la industria automotriz mexicana puede incentivar la adopción de prácticas de diversidad e inclusión entre fabricantes, distribuidores y empresas afiliadas."
97.0,ANPACT,México, Gremio o asociación sectorial,Asociación que representa a fabricantes de vehículos pesados y autobuses en México. Su participación es estratégica debido a su conocimiento técnico del sector y a su capacidad para apoyar la evaluación de soluciones de reconversión tecnológica en flotas de transporte público.,Mantener satisfecho,6.0,"Representa fabricantes de autobuses y vehículos pesados en México. Aunque existen intereses asociados a la transformación tecnológica del sector, no todos sus afiliados se benefician directamente del crecimiento del retrofit.",7.0,Agrupa a fabricantes de autobuses y vehículos pesados con capacidad de influencia técnica y sectorial sobre decisiones relacionadas con la modernización tecnológica del transporte.,,,,,,,8.0,"Agrupa a los principales fabricantes de vehículos pesados y autobuses de México, por lo que puede generar transformaciones significativas en empleo femenino, formación técnica y diversidad sectorial."
